2017-08-14 00:38:29,2 MAGGIO,69668132
2017-08-14 00:38:32,2 MAGGIO,69668132
2017-08-14 00:38:39,san giovanni rotondo,69668132
2017-08-14 00:39:44,2 maggio,69668132
2017-08-14 00:39:48,10,69668132
2017-08-14 00:39:53,new chat started,69668132
2017-08-14 00:40:29,new chat started,69668132
2017-08-14 00:40:54,ricercainfo,69668132
2017-08-14 00:41:13,alessano,69668132
2017-08-14 00:41:24,5414,69668132
2017-08-14 00:42:25,5414,69668132
2017-08-14 00:42:31,Alessano,69668132
2017-08-14 00:42:59,astor,69668132
2017-08-14 00:43:07,543,69668132
2017-08-14 00:45:17,543,69668132
2017-08-14 00:45:19,543,69668132
2017-08-14 00:45:22,543,69668132
2017-08-14 00:45:22,543,69668132
2017-08-14 00:45:30,543,69668132
2017-08-14 00:45:36,astor,69668132
2017-08-14 00:45:39,2105,69668132
2017-08-14 00:53:35,ANTICHE GIARE,69668132
2017-08-14 00:53:38,413,69668132
2017-08-14 00:54:14,413,69668132
2017-08-14 00:54:20,ANTICHE GIARE,69668132
2017-08-14 00:54:23,413,69668132
2017-08-14 00:54:54,413,69668132
2017-08-14 00:55:11,138,69668132
2017-08-14 00:55:35,ANTICHE MACINE,69668132
2017-08-14 00:55:51,ricercainfo,69668132
2017-08-14 00:55:53,ricercainfo,69668132
2017-08-14 00:56:08,ricercainfo,69668132
2017-08-14 00:56:10,ricercainfo,69668132
2017-08-14 00:56:12,new chat started,69668132
2017-08-14 00:56:14,ricercainfo,69668132
2017-08-14 00:56:29,ricercainfo,69668132
2017-08-14 00:56:34,ANTICHE MACINE,69668132
2017-08-14 00:56:43,414,69668132
2017-08-14 00:56:48,415,69668132
2017-08-14 00:57:24,415,69668132
2017-08-14 00:57:48,ANTICO ARANCETO,69668132
2017-08-14 00:57:51,420,69668132
2017-08-14 08:07:21,new chat started,62234419
2017-08-14 08:07:52,1579,62234419
2017-08-14 08:08:17,Torre lapillo,62234419
2017-08-14 08:11:03,250,62234419
2017-08-14 08:11:44,1384,62234419
2017-08-14 08:12:06,923,62234419
2017-08-14 08:12:44,1197,62234419
2017-08-14 08:14:18,81,62234419
2017-08-14 08:16:46,1426,62234419
